Speaker,Age,Gender,Adjective,Gender.N1,Gender.N2,Case.Prep,Position,Agreement,Agreement2,AgreementComb
27,18,male,koestlich,masc,fem,DAT,initial,N2,N2,N1masc-N2fem
27,18,male,straff,fem,neut,DAT,non-initial,O,Ø,N1fem-N2neut
27,18,male,steinig,masc,neut,GEN,initial,O,Ø,N1masc-N2neut
27,18,male,blond,fem,masc,GEN,non-initial,O,Ø,N1fem-N2masc
27,18,male,verstopft,neut,masc,DAT,non-initial,O,Ø,N1neut-N2masc
27,18,male,verschlafen,neut,fem,GEN,initial,N2,N2,N1neut-N2fem
28,18,male,krank,masc,fem,GEN,non-initial,O,Ø,N1masc-N2fem
28,18,male,gesund,fem,neut,GEN,initial,O,Ø,N1fem-N2neut
28,18,male,traurig,neut,fem,DAT,non-initial,O,Ø,N1neut-N2fem
28,18,male,voll,fem,masc,DAT,initial,O,Ø,N1fem-N2masc
28,18,male,koestlich,masc,fem,DAT,initial,O,Ø,N1masc-N2fem
28,18,male,verletzt,neut,masc,GEN,initial,O,Ø,N1neut-N2masc
28,18,male,straff,fem,neut,DAT,non-initial,O,Ø,N1fem-N2neut
28,18,male,steinig,masc,neut,GEN,initial,O,Ø,N1masc-N2neut
28,18,male,blond,fem,masc,GEN,non-initial,O,Ø,N1fem-N2masc
28,18,male,fleissig,masc,neut,DAT,non-initial,O,Ø,N1masc-N2neut
28,18,male,verstopft,neut,masc,DAT,non-initial,O,Ø,N1neut-N2masc
28,18,male,verschlafen,neut,fem,GEN,initial,N2,N2,N1neut-N2fem
29,27,female,krank,masc,fem,GEN,non-initial,N1,N1,N1masc-N2fem
29,27,female,gesund,fem,neut,GEN,initial,N1,N1,N1fem-N2neut
29,27,female,traurig,neut,fem,DAT,non-initial,D,e,N1neut-N2fem
29,27,female,voll,fem,masc,DAT,initial,O,Ø,N1fem-N2masc
29,27,female,koestlich,masc,fem,DAT,initial,N2,N2,N1masc-N2fem
29,27,female,verletzt,neut,masc,GEN,initial,N2,N2,N1neut-N2masc
29,27,female,straff,fem,neut,DAT,non-initial,N1,N1,N1fem-N2neut
29,27,female,steinig,masc,neut,GEN,initial,N2,N2,N1masc-N2neut
29,27,female,blond,fem,masc,GEN,non-initial,N1,N1,N1fem-N2masc
29,27,female,fleissig,masc,neut,DAT,non-initial,N2,N2,N1masc-N2neut
29,27,female,verstopft,neut,masc,DAT,non-initial,N2,N2,N1neut-N2masc
29,27,female,verschlafen,neut,fem,GEN,initial,N2,N2,N1neut-N2fem
30,58,female,krank,masc,fem,GEN,non-initial,O,Ø,N1masc-N2fem
30,58,female,gesund,fem,neut,GEN,initial,N1,N1,N1fem-N2neut
30,58,female,traurig,neut,fem,DAT,non-initial,O,Ø,N1neut-N2fem
30,58,female,voll,fem,masc,DAT,initial,O,Ø,N1fem-N2masc
30,58,female,koestlich,masc,fem,DAT,initial,N1,N1,N1masc-N2fem
30,58,female,verletzt,neut,masc,GEN,initial,N1,N1,N1neut-N2masc
30,58,female,straff,fem,neut,DAT,non-initial,N1,N1,N1fem-N2neut
30,58,female,steinig,masc,neut,GEN,initial,N2,N2,N1masc-N2neut
30,58,female,blond,fem,masc,GEN,non-initial,N1,N1,N1fem-N2masc
30,58,female,fleissig,masc,neut,DAT,non-initial,N1,N1,N1masc-N2neut
30,58,female,verstopft,neut,masc,DAT,non-initial,N1,N1,N1neut-N2masc
30,58,female,verschlafen,neut,fem,GEN,initial,N1,N1,N1neut-N2fem
31,26,female,krank,masc,fem,GEN,non-initial,N1,N1,N1masc-N2fem
31,26,female,gesund,fem,neut,GEN,initial,N1,N1,N1fem-N2neut
31,26,female,traurig,neut,fem,DAT,non-initial,N1,N1,N1neut-N2fem
31,26,female,voll,fem,masc,DAT,initial,N1,N1,N1fem-N2masc
31,26,female,koestlich,masc,fem,DAT,initial,N1,N1,N1masc-N2fem
31,26,female,verletzt,neut,masc,GEN,initial,N1,N1,N1neut-N2masc
31,26,female,straff,fem,neut,DAT,non-initial,N1,N1,N1fem-N2neut
31,26,female,steinig,masc,neut,GEN,initial,N1,N1,N1masc-N2neut
31,26,female,blond,fem,masc,GEN,non-initial,N1,N1,N1fem-N2masc
31,26,female,fleissig,masc,neut,DAT,non-initial,N1,N1,N1masc-N2neut
31,26,female,verstopft,neut,masc,DAT,non-initial,N1,N1,N1neut-N2masc
31,26,female,verschlafen,neut,fem,GEN,initial,N1,N1,N1neut-N2fem
32,55,male,krank,masc,fem,GEN,non-initial,N1,N1,N1masc-N2fem
32,55,male,gesund,fem,neut,GEN,initial,N1,N1,N1fem-N2neut
32,55,male,traurig,neut,fem,DAT,non-initial,O,Ø,N1neut-N2fem
32,55,male,voll,fem,masc,DAT,initial,O,Ø,N1fem-N2masc
32,55,male,koestlich,masc,fem,DAT,initial,O,Ø,N1masc-N2fem
32,55,male,straff,fem,neut,DAT,non-initial,N1,N1,N1fem-N2neut
32,55,male,steinig,masc,neut,GEN,initial,N2,N2,N1masc-N2neut
32,55,male,blond,fem,masc,GEN,non-initial,N1,N1,N1fem-N2masc
32,55,male,fleissig,masc,neut,DAT,non-initial,N1,N1,N1masc-N2neut
32,55,male,verstopft,neut,masc,DAT,non-initial,N1,N1,N1neut-N2masc
32,55,male,verschlafen,neut,fem,GEN,initial,N1,N1,N1neut-N2fem
33,61,female,krank,masc,fem,GEN,non-initial,N2,N2,N1masc-N2fem
33,61,female,gesund,fem,neut,GEN,initial,O,Ø,N1fem-N2neut
33,61,female,traurig,neut,fem,DAT,non-initial,N2,N2,N1neut-N2fem
33,61,female,voll,fem,masc,DAT,initial,N2,N2,N1fem-N2masc
33,61,female,koestlich,masc,fem,DAT,initial,N2,N2,N1masc-N2fem
33,61,female,verletzt,neut,masc,GEN,initial,N2,N2,N1neut-N2masc
33,61,female,straff,fem,neut,DAT,non-initial,N1,N1,N1fem-N2neut
33,61,female,steinig,masc,neut,GEN,initial,N2,N2,N1masc-N2neut
33,61,female,blond,fem,masc,GEN,non-initial,N1,N1,N1fem-N2masc
33,61,female,fleissig,masc,neut,DAT,non-initial,O,Ø,N1masc-N2neut
33,61,female,verstopft,neut,masc,DAT,non-initial,N2,N2,N1neut-N2masc
33,61,female,verschlafen,neut,fem,GEN,initial,N2,N2,N1neut-N2fem
34,58,female,krank,masc,fem,GEN,non-initial,D,e,N1masc-N2fem
34,58,female,gesund,fem,neut,GEN,initial,O,Ø,N1fem-N2neut
34,58,female,traurig,neut,fem,DAT,non-initial,O,Ø,N1neut-N2fem
34,58,female,voll,fem,masc,DAT,initial,O,Ø,N1fem-N2masc
34,58,female,straff,fem,neut,DAT,non-initial,N1,N1,N1fem-N2neut
34,58,female,steinig,masc,neut,GEN,initial,N1,N1,N1masc-N2neut
34,58,female,blond,fem,masc,GEN,non-initial,N1,N1,N1fem-N2masc
34,58,female,fleissig,masc,neut,DAT,non-initial,O,Ø,N1masc-N2neut
34,58,female,verstopft,neut,masc,DAT,non-initial,N2,N2,N1neut-N2masc
35,39,female,krank,masc,fem,GEN,non-initial,O,Ø,N1masc-N2fem
35,39,female,gesund,fem,neut,GEN,initial,O,Ø,N1fem-N2neut
35,39,female,traurig,neut,fem,DAT,non-initial,O,Ø,N1neut-N2fem
35,39,female,voll,fem,masc,DAT,initial,O,Ø,N1fem-N2masc
35,39,female,koestlich,masc,fem,DAT,initial,O,Ø,N1masc-N2fem
35,39,female,verletzt,neut,masc,GEN,initial,O,Ø,N1neut-N2masc
35,39,female,straff,fem,neut,DAT,non-initial,O,Ø,N1fem-N2neut
35,39,female,steinig,masc,neut,GEN,initial,O,Ø,N1masc-N2neut
35,39,female,blond,fem,masc,GEN,non-initial,O,Ø,N1fem-N2masc
35,39,female,fleissig,masc,neut,DAT,non-initial,O,Ø,N1masc-N2neut
35,39,female,verstopft,neut,masc,DAT,non-initial,O,Ø,N1neut-N2masc
35,39,female,verschlafen,neut,fem,GEN,initial,O,Ø,N1neut-N2fem
36,45,female,krank,masc,fem,GEN,non-initial,N2,N2,N1masc-N2fem
36,45,female,gesund,fem,neut,GEN,initial,O,Ø,N1fem-N2neut
36,45,female,traurig,neut,fem,DAT,non-initial,N1,N1,N1neut-N2fem
36,45,female,voll,fem,masc,DAT,initial,N1,N1,N1fem-N2masc
36,45,female,koestlich,masc,fem,DAT,initial,N2,N2,N1masc-N2fem
36,45,female,verletzt,neut,masc,GEN,initial,N2,N2,N1neut-N2masc
36,45,female,straff,fem,neut,DAT,non-initial,N1,N1,N1fem-N2neut
36,45,female,steinig,masc,neut,GEN,initial,N2,N2,N1masc-N2neut
36,45,female,blond,fem,masc,GEN,non-initial,N1,N1,N1fem-N2masc
