Speaker,Age,Sex,Adjective,Gender.N1,Gender.N2,Case.Prep,Position,Agreement,AgreementNO,AgreementNN1,AgreementNN2,AgeF
36,45,female,verschlafen,neut,fem,GEN,initial,N2,NO,NN1,N2,"(30,70]"
37,32,male,krank,masc,fem,GEN,non-initial,N1,NO,N1,NN2,"(30,70]"
37,32,male,straff,fem,neut,DAT,non-initial,N2,NO,NN1,N2,"(30,70]"
37,32,male,blond,fem,masc,GEN,non-initial,N2,NO,NN1,N2,"(30,70]"
37,32,male,verstopft,neut,masc,DAT,non-initial,N2,NO,NN1,N2,"(30,70]"
37,32,male,verschlafen,neut,fem,GEN,initial,N2,NO,NN1,N2,"(30,70]"
39,28,female,krank,masc,fem,GEN,non-initial,N1,NO,N1,NN2,"[16,30]"
39,28,female,gesund,fem,neut,GEN,initial,N1,NO,N1,NN2,"[16,30]"
39,28,female,traurig,neut,fem,DAT,non-initial,N1,NO,N1,NN2,"[16,30]"
39,28,female,voll,fem,masc,DAT,initial,N1,NO,N1,NN2,"[16,30]"
39,28,female,verletzt,neut,masc,GEN,initial,N1,NO,N1,NN2,"[16,30]"
39,28,female,straff,fem,neut,DAT,non-initial,N1,NO,N1,NN2,"[16,30]"
39,28,female,steinig,masc,neut,GEN,initial,N1,NO,N1,NN2,"[16,30]"
39,28,female,blond,fem,masc,GEN,non-initial,N1,NO,N1,NN2,"[16,30]"
39,28,female,fleissig,masc,neut,DAT,non-initial,N1,NO,N1,NN2,"[16,30]"
39,28,female,verstopft,neut,masc,DAT,non-initial,N1,NO,N1,NN2,"[16,30]"
39,28,female,verschlafen,neut,fem,GEN,initial,N1,NO,N1,NN2,"[16,30]"
41,62,female,straff,fem,neut,DAT,non-initial,N1,NO,N1,NN2,"(30,70]"
41,62,female,blond,fem,masc,GEN,non-initial,N1,NO,N1,NN2,"(30,70]"
41,62,female,fleissig,masc,neut,DAT,non-initial,N1,NO,N1,NN2,"(30,70]"
41,62,female,verstopft,neut,masc,DAT,non-initial,N1,NO,N1,NN2,"(30,70]"
41,62,female,verschlafen,neut,fem,GEN,initial,N1,NO,N1,NN2,"(30,70]"
42,59,male,gesund,fem,neut,GEN,initial,N1,NO,N1,NN2,"(30,70]"
42,59,male,traurig,neut,fem,DAT,non-initial,N1,NO,N1,NN2,"(30,70]"
42,59,male,koestlich,masc,fem,DAT,initial,N1,NO,N1,NN2,"(30,70]"
42,59,male,verletzt,neut,masc,GEN,initial,N1,NO,N1,NN2,"(30,70]"
42,59,male,straff,fem,neut,DAT,non-initial,N1,NO,N1,NN2,"(30,70]"
42,59,male,steinig,masc,neut,GEN,initial,N2,NO,NN1,N2,"(30,70]"
42,59,male,blond,fem,masc,GEN,non-initial,N1,NO,N1,NN2,"(30,70]"
42,59,male,fleissig,masc,neut,DAT,non-initial,N2,NO,NN1,N2,"(30,70]"
42,59,male,verstopft,neut,masc,DAT,non-initial,N2,NO,NN1,N2,"(30,70]"
42,59,male,verschlafen,neut,fem,GEN,initial,N2,NO,NN1,N2,"(30,70]"
43,50,male,krank,masc,fem,GEN,non-initial,N1,NO,N1,NN2,"(30,70]"
43,50,male,verletzt,neut,masc,GEN,initial,N1,NO,N1,NN2,"(30,70]"
43,50,male,straff,fem,neut,DAT,non-initial,N1,NO,N1,NN2,"(30,70]"
43,50,male,fleissig,masc,neut,DAT,non-initial,N1,NO,N1,NN2,"(30,70]"
43,50,male,verstopft,neut,masc,DAT,non-initial,N1,NO,N1,NN2,"(30,70]"
43,50,male,verschlafen,neut,fem,GEN,initial,N1,NO,N1,NN2,"(30,70]"
